begin;open;close;high;low;value;volume;name
2022-11-28 00:00:00;135.02;135.53;136.2;134.1;6119857086.1;45275110;SBER
2022-11-29 00:00:00;136.29;136.37;137.2;135.88;4322432923.7;31648090;SBER
2022-11-30 00:00:00;136.5;136.78;136.78;135.23;3645274279.8;26816190;SBER
2022-12-01 00:00:00;137.1;137.15;137.95;136.31;4528220086.5;33056500;SBER
2022-12-02 00:00:00;136.99;136.66;137.1;136.17;2631801491.3;19261670;SBER
2022-12-05 00:00:00;136.66;142.0;142.68;136.25;14626342206.0;103930500;SBER
2022-12-06 00:00:00;142.2;140.61;143.37;139.11;7320200569.4;51823300;SBER
2022-12-07 00:00:00;140.5;142.32;142.81;138.36;9820959841.6;69885670;SBER
2022-12-08 00:00:00;143.5;139.92;143.6;139.8;9051030863.8;64056510;SBER
2022-12-09 00:00:00;139.7;140.03;140.7;139.24;4121787838.9;29441490;SBER
2022-12-12 00:00:00;140.19;139.48;140.87;138.7;4674567348.3;33477470;SBER
2022-12-13 00:00:00;139.67;138.13;139.93;136.67;7204347001.0;52200510;SBER
2022-12-14 00:00:00;138.28;137.3;138.28;136.6;4682726701.5;34074890;SBER
2022-12-15 00:00:00;136.99;134.55;137.08;134.3;7425601043.9;54791650;SBER
2022-12-16 00:00:00;134.5;135.45;136.09;134.13;4438893679.0;32802120;SBER
2022-12-19 00:00:00;135.13;134.64;136.73;132.86;7922461200.5;58826130;SBER
2022-12-20 00:00:00;134.51;138.28;138.4;134.41;6164921383.7;45017120;SBER
2022-12-21 00:00:00;138.7;137.75;139.12;135.81;6272681336.7;45542340;SBER
2022-12-22 00:00:00;137.99;137.69;138.97;137.0;4219452712.4;30562140;SBER
2022-12-23 00:00:00;137.49;137.94;138.26;136.81;3151110861.8;22908110;SBER
2022-12-26 00:00:00;138.33;140.95;141.0;138.0;6912819148.3;49379370;SBER
2022-12-27 00:00:00;141.31;139.9;142.0;139.6;5856965521.6;41654530;SBER
2022-12-28 00:00:00;139.73;139.51;140.4;138.6;3911970512.0;28045010;SBER
2022-12-29 00:00:00;139.5;140.96;141.65;139.22;4513089042.4;32059860;SBER
2022-12-30 00:00:00;140.8;141.15;141.48;140.13;3968971100.4;28175080;SBER
2023-01-03 00:00:00;141.6;141.78;143.25;141.56;3000247965.4;21098550;SBER
2023-01-04 00:00:00;141.85;141.43;142.28;140.75;2419428972.3;17112740;SBER
2023-01-05 00:00:00;141.6;141.27;141.84;140.54;2435171391.9;17245300;SBER
2023-01-06 00:00:00;141.39;141.4;141.62;140.9;1504730792.2;10657600;SBER
2023-01-09 00:00:00;141.83;142.4;142.99;141.65;4480148303.4;31449160;SBER
2023-01-10 00:00:00;142.1;142.81;142.85;141.31;3368938055.0;23718180;SBER
2023-01-11 00:00:00;142.97;149.96;149.98;142.87;18097145617.6;123147040;SBER
2023-01-12 00:00:00;150.02;149.3;150.79;148.39;6982668294.2;46789300;SBER
2023-01-13 00:00:00;149.58;151.69;153.28;147.71;13374657598.8;88520210;SBER
2023-01-16 00:00:00;152.89;153.71;154.0;151.88;7920014161.8;51753920;SBER
2023-01-17 00:00:00;154.0;150.45;154.31;150.01;12790444010.5;84404770;SBER
2023-01-18 00:00:00;150.4;151.47;153.0;149.41;10235015056.8;67511970;SBER
2023-01-19 00:00:00;151.2;149.34;152.85;148.56;10027708961.8;66813960;SBER
2023-01-20 00:00:00;149.7;151.38;151.4;148.64;6633881321.1;44254820;SBER
2023-01-23 00:00:00;151.9;153.5;154.1;151.01;8453400896.7;55198870;SBER
2023-01-24 00:00:00;153.95;152.66;155.58;152.28;12126204920.9;78734130;SBER
2023-01-25 00:00:00;152.45;152.81;153.6;151.5;6613609683.1;43376700;SBER
2023-01-26 00:00:00;153.32;152.4;154.3;151.73;6966980467.7;45513320;SBER
2023-01-27 00:00:00;152.4;153.2;153.48;151.69;5213964676.6;34123690;SBER
2023-01-30 00:00:00;153.5;153.38;153.88;152.21;4760702156.6;31105220;SBER
2023-01-31 00:00:00;153.51;158.07;158.18;153.3;12127748512.5;77890320;SBER
2023-02-01 00:00:00;158.2;158.29;159.6;156.5;10480709146.9;66332200;SBER
2023-02-02 00:00:00;158.4;159.45;160.29;157.37;8572049477.0;53866380;SBER
2023-02-03 00:00:00;159.1;161.26;162.32;157.88;10193999216.9;63735330;SBER
2023-02-06 00:00:00;161.78;167.09;167.17;161.01;14666403495.3;89083530;SBER
2023-02-07 00:00:00;167.3;165.39;168.7;163.4;15345906260.6;92661570;SBER
2023-02-08 00:00:00;165.0;164.15;166.35;162.7;9652989000.6;58669030;SBER
2023-02-09 00:00:00;164.33;165.31;167.47;161.27;17608882957.8;107139220;SBER
2023-02-10 00:00:00;165.0;165.52;166.49;164.5;6774229866.8;40924680;SBER
2023-02-13 00:00:00;165.2;164.32;166.88;164.17;5995183185.7;36212200;SBER
2023-02-14 00:00:00;164.3;161.86;164.38;161.64;9574244266.6;58832960;SBER
